21:59:54.273 [background-preinit] INFO  org.hibernate.validator.internal.util.Version [] - HV000001: Hibernate Validator 8.0.1.Final
21:59:54.288 [main] INFO  com.connect.web.Application [] - Starting Application using Java 20.0.2 with PID 98761 (/Users/yangleduo/Documents/connect/connect-web/target/classes started by yangleduo in /Users/yangleduo/Documents/connect)
21:59:54.293 [main] INFO  com.connect.web.Application [] - The following 1 profile is active: "dev"
21:59:54.665 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate [] - Multiple Spring Data modules found, entering strict repository configuration mode
21:59:54.666 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate [] - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
21:59:54.681 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate [] - Finished Spring Data repository scanning in 8 ms. Found 0 Redis repository interfaces.
21:59:54.984 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer [] - Tomcat initialized with port(s): 8080 (http)
21:59:54.988 [main] INFO  org.apache.coyote.http11.Http11NioProtocol [] - Initializing ProtocolHandler ["http-nio-8080"]
21:59:54.988 [main] INFO  org.apache.catalina.core.StandardService [] - Starting service [Tomcat]
21:59:54.989 [main] INFO  org.apache.catalina.core.StandardEngine [] - Starting Servlet engine: [Apache Tomcat/10.1.15]
21:59:55.023 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] [] - Initializing Spring embedded WebApplicationContext
21:59:55.024 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext [] - Root WebApplicationContext: initialization completed in 714 ms
21:59:55.890 [main] INFO  org.springframework.security.web.DefaultSecurityFilterChain [] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@538905d2, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7e8c58fd, org.springframework.security.web.context.SecurityContextHolderFilter@31dbf5bb, org.springframework.security.web.header.HeaderWriterFilter@217b0952, org.springframework.security.web.authentication.logout.LogoutFilter@3dd66ff5, com.connect.web.filter.JwtAuthenticationFilter@5a899811, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@73958426, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@43090195, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@11ce9319, org.springframework.security.web.session.SessionManagementFilter@36330be8, org.springframework.security.web.access.ExceptionTranslationFilter@519b0f00, org.springframework.security.web.access.intercept.AuthorizationFilter@2211e731]
21:59:55.891 [main] WARN  org.springframework.security.config.annotation.web.builders.WebSecurity [] - You are asking Spring Security to ignore Mvc [pattern='/api/connect/v1/public/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
21:59:55.891 [main] INFO  org.springframework.security.web.DefaultSecurityFilterChain [] - Will not secure Mvc [pattern='/api/connect/v1/public/**']
21:59:55.892 [main] WARN  org.springframework.security.config.annotation.web.builders.WebSecurity [] - You are asking Spring Security to ignore Mvc [pattern='/api/root/test/token']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
21:59:55.892 [main] INFO  org.springframework.security.web.DefaultSecurityFilterChain [] - Will not secure Mvc [pattern='/api/root/test/token']
21:59:55.999 [main] INFO  org.apache.coyote.http11.Http11NioProtocol [] - Starting ProtocolHandler ["http-nio-8080"]
21:59:56.010 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer [] - Tomcat started on port(s): 8080 (http) with context path ''
21:59:56.015 [main] INFO  com.connect.web.Application [] - Started Application in 1.893 seconds (process running for 2.283)
22:01:02.697 [http-nio-8080-exec-2] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] [] - Initializing Spring DispatcherServlet 'dispatcherServlet'
22:01:02.697 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet [] - Initializing Servlet 'dispatcherServlet'
22:01:02.700 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet [] - Completed initialization in 2 ms
22:01:02.709 [http-nio-8080-exec-2] INFO  com.connect.web.filter.JwtAuthenticationFilter [120b2f71-6182-4086-b854-d5654f413ae1] - enter jwt filter for /api/root/test/token
22:01:02.711 [http-nio-8080-exec-2] INFO  com.connect.web.interceptor.LoggingInterceptor [120b2f71-6182-4086-b854-d5654f413ae1] - Request URI: /api/root/test/token
22:01:02.711 [http-nio-8080-exec-2] INFO  com.connect.web.interceptor.LoggingInterceptor [120b2f71-6182-4086-b854-d5654f413ae1] - Request Headers: org.springframework.security.web.firewall.StrictHttpFirewall$StrictFirewalledRequest$2@43dd89e8
22:01:02.711 [http-nio-8080-exec-2] INFO  com.connect.web.interceptor.LoggingInterceptor [120b2f71-6182-4086-b854-d5654f413ae1] - Request Body: 
22:01:02.726 [http-nio-8080-exec-2] INFO  com.connect.web.util.JwtTokenUtil [120b2f71-6182-4086-b854-d5654f413ae1] - generating token for {sub=ROOT, role=ADMIN, created=Wed Dec 20 22:01:02 CST 2023}
22:01:02.726 [http-nio-8080-exec-2] INFO  com.connect.web.util.JwtTokenUtil [120b2f71-6182-4086-b854-d5654f413ae1] - expiration time : 864000000
22:01:02.763 [http-nio-8080-exec-2] INFO  com.connect.web.interceptor.LoggingInterceptor [120b2f71-6182-4086-b854-d5654f413ae1] - Response status: 200
22:01:02.763 [http-nio-8080-exec-2] INFO  com.connect.web.interceptor.LoggingInterceptor [120b2f71-6182-4086-b854-d5654f413ae1] - Response Headers: [Content-Type, Transfer-Encoding, Date, Keep-Alive, Connection]
